timestamp_ns,strategy,direction,lots,fill_price,slippage,pnl,fill_probability,latency_ms,close_reason
1713733208859000000,C,Buy,1000.0,154.60190873591094,-0.00009126408907201463,0.0,0.6730629958781249,1.9703340828259306,
1713733353614000000,C,Sell,1000.0,154.60264388323355,-0.00014388323355305285,0.7351473226151484,0.7482143889948211,0.6462112403506928,TRIGGER_EXIT
1713733380242000000,C,Buy,1000.0,154.60791591906354,-0.00008408093645553976,0.0,0.801591398715282,0.530975777545428,
1713733440379000000,C,Sell,1000.0,154.60194786391176,0.00005213608823236548,-5.968055151782892,0.8292023146866119,2.4046501677058654,TRIGGER_EXIT
1713733529567000000,C,Sell,1000.0,154.6054042365628,0.00009576343719581197,0.0,0.8983101748204878,0.7065549531604065,
1713733531874000000,C,Buy,1000.0,154.60714442719322,0.0001444271932247013,-1.7401906304144177,0.881013578755574,1.3808112015695484,TRIGGER_EXIT
1713733532076000000,C,Buy,1000.0,154.61065022325315,-0.00034977674684975223,0.0,0.8777716480258532,0.8520659422173897,
1713733532127000000,C,Sell,1000.0,154.61264510424823,-0.00014510424820495037,1.9948809950847135,0.8978408355667484,2.4262414798128327,TRIGGER_EXIT
1713733546163000000,C,Sell,1000.0,154.6171683593444,-0.00016835934436991047,0.0,0.8908733662710263,2.2325432103281226,
1713733546264000000,C,Buy,1000.0,154.61377921834605,-0.00022078165394123433,3.3891409983368703,0.9145500744788946,0.5036459743974997,TRIGGER_EXIT
1713733556300000000,C,Sell,1000.0,154.6159382440213,0.00006175597870012018,0.0,0.9117349646071538,0.9634797832203574,
1713733558759000000,C,Buy,1000.0,154.61738114250838,-0.00011885749162309779,-1.4428984870846762,0.916010530021283,2.4285916126884604,TRIGGER_EXIT
1713733561020000000,C,Buy,1000.0,154.60141327376232,-0.00008672623766833581,0.0,0.9555159946762288,1.556520089182478,
1713733561121000000,C,Sell,1000.0,154.60128059723164,-0.0002805972316491776,-0.13267653068282925,0.9626460772503004,1.121915561383251,TRIGGER_EXIT
1713733561272000000,C,Buy,1000.0,154.60049291897639,-7.081023631538196e-6,0.0,0.9349294270495325,0.6381601611463912,
1713733562278000000,C,Sell,1000.0,154.59959080296582,-0.00009080296584866605,-0.9021160105646686,0.9574678298184437,1.627476860730493,OBI_REVERSAL
1713733564839000000,C,Sell,1000.0,154.61608380500536,-0.00008380500538609814,0.0,0.9504988375079729,1.1046636354659094,
1713733568204000000,C,Buy,1000.0,154.61414734667144,-0.00035265332855313834,1.936458333915425,0.9549096563416388,0.7491481984439945,TRIGGER_EXIT
1713733598209000000,C,Sell,1000.0,154.6035855107594,-0.00008551075940420244,0.0,0.9746825190178132,1.8851239175798842,
1713733650903000000,C,Buy,1000.0,154.60685243915322,-0.0001475608467853146,-3.266928393827584,0.8947432539333248,1.4635020218687946,TRIGGER_EXIT
1713733658524000000,C,Sell,1000.0,154.60362320443505,-0.00012320443505838742,0.0,0.9005017260980823,1.987827424424444,
1713733678277000000,C,Buy,1000.0,154.60283230245568,-0.00016769754431716132,0.7909019793714833,0.9197278185104486,0.8805226575202285,TRIGGER_EXIT
1713733706870000000,C,Sell,1000.0,154.60604255157057,-0.00004255157056002371,0.0,0.9304468120399363,1.5559628196481576,
1713733707021000000,C,Buy,1000.0,154.60898091796366,-0.000019082036346077885,-2.938366393095748,0.9460639008551738,2.4716785376608055,OBI_REVERSAL
1713733763124000000,C,Buy,1000.0,154.60436484317657,-0.000135156823430544,0.0,0.9361023131535364,1.564632883345434,
1713733765379000000,C,Sell,1000.0,154.59908976471854,-0.00008976471856367142,-5.275078458026883,0.9357144970805837,1.9993029307458214,OBI_REVERSAL
1713733788841000000,C,Sell,1000.0,154.59846798402157,0.00003201597844187984,0.0,0.9014909497865796,1.7456273935029953,
1713733791147000000,C,Buy,1000.0,154.59994473412732,-0.000055265872663224574,-1.4767501057519894,0.9025103227468061,0.700822511456243,OBI_REVERSAL
1713733800724000000,C,Sell,1000.0,154.60482898740423,-0.0003289874042326338,0.0,0.9122391001032373,0.766203445826392,
1713733800825000000,C,Buy,1000.0,154.60372365359777,-0.00027634640220491067,1.1053338064641594,0.9211677514619604,0.9602959405610045,TRIGGER_EXIT
1713733808796000000,C,Sell,1000.0,154.60357364391803,-0.00007364391803895299,0.0,0.8987967796406291,0.8414107286166677,
1713733811756000000,C,Buy,1000.0,154.59757772636704,0.00007772636703340963,5.995917550990271,0.9139728417549744,2.171183763705521,TRIGGER_EXIT
1713733841988000000,C,Sell,1000.0,154.6075912329413,-0.00009123294129909749,0.0,0.9010635496205268,1.2630361490714521,
1713734041002000000,C,Buy,1000.0,154.60137944964674,-0.0001205503532502752,6.211783294560291,0.9014185980039797,0.7113206928766536,MAX_HOLD_TIME
1713734064485000000,C,Buy,1000.0,154.60961923775344,0.00011923775344521462,0.0,0.9125771256748874,1.3065149120943298,
1713734064637000000,C,Sell,1000.0,154.61027832576406,-0.0002783257640441468,0.6590880106216446,0.913231566675243,0.8766899232061154,TRIGGER_EXIT
1713734148631000000,C,Buy,1000.0,154.59065747861587,-0.00034252138412913343,0.0,0.8978744494637756,0.6462812185637656,
1713734148782000000,C,Sell,1000.0,154.5935275144723,-0.000027514472296201207,2.870035856432196,0.9093719731570906,0.8492501894703766,OBI_REVERSAL
1713734217282000000,C,Buy,1000.0,154.59126605592837,-0.0002339440716162967,0.0,0.9049627034663107,1.546259697653764,
1713734220191000000,C,Sell,1000.0,154.59360776304223,-0.00010776304222881064,2.341707113856728,0.9104174699853562,2.203482200206588,TRIGGER_EXIT
1713734243823000000,C,Sell,1000.0,154.59012942830321,-0.00012942830320665798,0.0,0.9121237676358709,2.14077073945412,
1713734311713000000,C,Buy,1000.0,154.61198866926978,-0.000011330730232139108,-21.85924096656322,0.9134429018660783,1.4113638503916672,OBI_REVERSAL
1713734347492000000,C,Buy,1000.0,154.59877415492454,-0.00022584507546223609,0.0,0.9421732031876119,1.2456853328338202,
1713734371694000000,C,Sell,1000.0,154.5990560154255,-0.000056015425515140794,0.2818605009622388,0.9171105290214647,2.2264682415043686,OBI_REVERSAL
1713735035530000000,B,Buy,1000.0,154.5048392421776,-0.00016075782237345008,0.0,0.9432112004196741,0.9079875850258163,
1713735336409000000,B,Sell,1000.0,154.54098443065814,0.00001556934184841435,36.14518848053194,0.9430862067536601,0.6768056541412046,MAX_HOLD_TIME
1713736766401000000,B,Sell,1000.0,154.49754627146675,-0.0000462714667365899,0.0,0.9045738126208166,0.783784561257985,
1713737068075000000,B,Buy,1000.0,154.5561322341252,-0.00036776587481129723,-58.58596265844085,0.9378059027382579,0.933154057271723,MAX_HOLD_TIME
1713737968910000000,B,Sell,1000.0,154.59723229406876,-0.00023229406877847423,0.0,0.9295156987920706,0.5982250740713575,
1713738269591000000,B,Buy,1000.0,154.57439530985388,-0.00010469014610281872,22.836984214876566,0.92983106494736,0.6114484502756532,MAX_HOLD_TIME
1713741340632000000,B,Buy,1000.0,154.543808148004,-0.00019185199599212893,0.0,0.9438946381908879,0.53303263783284,
1713741646951000000,B,Sell,1000.0,154.58120566859492,-0.00020566859490840807,37.397520590928934,0.9112233543147821,2.3002516418061862,MAX_HOLD_TIME
1713743049886000000,B,Sell,1000.0,154.58484883952482,-0.0003488395248225057,0.0,0.927471700966652,2.0604613349151717,
1713743361452000000,B,Buy,1000.0,154.62028473417388,-0.00021526582610065345,-35.435894649054944,0.9393230623872338,0.9134017016748563,MAX_HOLD_TIME
1713744109142000000,B,Buy,1000.0,154.62132833086264,-0.00017166913735029514,0.0,0.9394698430746534,1.5321173747805572,
1713744412153000000,B,Sell,1000.0,154.6816005684762,-0.00010056847619569486,60.272237613560264,0.9157347448429595,1.6903651258798775,MAX_HOLD_TIME
1713747157354000000,B,Buy,1000.0,154.68825977676116,-0.00024022323884956246,0.0,0.9259707697503753,0.6658538863193988,
1713747464061000000,B,Sell,1000.0,154.68819039398196,-0.00019039398197972965,-0.06938277920198743,0.9210087321509871,2.015837424067855,MAX_HOLD_TIME
